instance size;bitonic sort (CPU);bitonic sort (GPU);odd-even sort (CPU);odd-event sort (GPU)
128;0.002886;;0.018787;
128;0.001396;;0.005486;
128;0.003262;;0.020980;
128;0.002887;;0.015150;
128;0.001473;;0.011127;
128;0.002185;;0.011501;
128;0.001586;;0.010869;
128;0.001744;;0.011605;
128;0.002777;;0.019624;
128;0.002071;;0.011664;
128;0.000838;;0.005380;
128;0.000689;;0.006953;
128;0.001298;;0.006263;
128;0.001054;;0.005176;
128;0.000796;;0.004526;
128;0.000906;;0.005510;
128;0.000773;;0.007256;
128;0.000811;;0.006575;
128;0.000977;;0.007997;
128;0.001014;;0.006272;
128;0.001858;;0.005234;
128;0.000969;;0.005049;
128;0.000913;;0.005494;
128;0.001116;;0.007447;
128;0.001367;;0.005575;
128;0.001763;;0.006357;
128;0.001056;;0.006122;
128;0.000959;;0.004384;
128;0.001300;;0.006970;
128;0.001365;;0.005284;
128;0.000687;;0.005173;
128;0.001017;;0.005182;
128;0.000757;;0.005729;
128;0.000939;;0.008085;
128;0.001015;;0.006313;
128;0.001084;;0.005473;
128;0.000928;;0.005962;
128;0.001028;;0.007859;
128;0.000961;;0.005260;
128;0.001831;;0.005415;
128;0.001018;;0.008936;
128;0.001160;;0.007820;
128;0.001360;;0.007317;
128;0.001139;;0.005848;
128;0.000819;;0.005899;
128;0.001096;;0.006696;
128;0.000998;;0.006060;
128;0.001835;;0.007049;
128;0.001025;;0.008491;
128;0.000962;;0.008583;
128;0.001218;;0.005607;
128;0.000838;;0.006734;
128;0.001148;;0.007375;
128;0.000958;;0.005389;
128;0.000718;;0.005107;
128;0.001531;;0.006338;
128;0.000987;;0.005879;
128;0.001371;;0.006105;
128;0.001162;;0.005968;
128;0.000867;;0.006250;
128;0.001282;;0.006660;
128;0.001331;;0.006314;
128;0.000972;;0.005309;
128;0.001359;;0.005844;
128;0.000863;;0.007891;
128;0.000846;;0.006804;
128;0.000951;;0.007069;
128;0.000794;;0.005144;
128;0.001775;;0.009127;
128;0.001193;;0.007075;
128;0.000745;;0.009463;
128;0.001040;;0.006523;
128;0.001617;;0.008816;
128;0.001016;;0.007171;
128;0.001880;;0.007131;
128;0.000927;;0.003657;
128;0.001779;;0.008448;
128;0.001017;;0.006658;
128;0.001033;;0.008181;
128;0.002101;;0.006849;
128;0.001102;;0.012795;
128;0.000840;;0.012077;
128;0.013258;;0.013460;
128;0.002697;;0.012928;
128;0.001273;;0.010683;
128;0.001153;;0.017988;
128;0.002142;;0.012695;
128;0.001013;;0.021617;
128;0.000988;;0.018549;
128;0.001077;;0.011105;
128;0.001294;;0.010383;
128;0.001271;;0.008929;
128;0.002120;;0.005150;
128;0.001381;;0.005871;
128;0.003980;;0.013871;
128;0.001039;;0.012122;
128;0.002261;;0.017903;
128;0.003545;;0.013311;
128;0.001554;;0.009268;
128;0.001586;;0.020353;
256;0.002383;;0.026617;
256;0.003931;;0.023290;
256;0.001376;;0.023457;
256;0.002002;;0.022283;
256;0.001533;;0.015525;
256;0.001818;;0.015721;
256;0.000908;;0.014522;
256;0.001160;;0.011690;
256;0.001527;;0.038376;
256;0.002530;;0.026466;
256;0.001655;;0.032524;
256;0.003617;;0.017546;
256;0.003782;;0.023029;
256;0.000903;;0.012656;
256;0.001335;;0.011748;
256;0.001334;;0.012479;
256;0.000995;;0.013220;
256;0.001064;;0.015445;
256;0.000852;;0.009343;
256;0.001499;;0.008438;
256;0.001818;;0.014017;
256;0.001662;;0.020893;
256;0.005262;;0.019817;
256;0.002066;;0.015451;
256;0.000864;;0.014152;
256;0.001009;;0.019548;
256;0.001577;;0.015007;
256;0.001110;;0.010529;
256;0.000905;;0.016564;
256;0.001315;;0.019035;
256;0.001189;;0.012331;
256;0.000671;;0.013857;
256;0.001273;;0.013496;
256;0.001941;;0.013796;
256;0.001038;;0.013164;
256;0.001040;;0.014974;
256;0.000914;;0.015321;
256;0.001441;;0.012729;
256;0.000940;;0.012031;
256;0.001087;;0.013425;
256;0.000833;;0.012722;
256;0.000986;;0.013844;
256;0.001150;;0.011658;
256;0.000826;;0.012284;
256;0.000782;;0.015160;
256;0.000795;;0.014615;
256;0.000947;;0.014720;
256;0.001435;;0.012045;
256;0.000848;;0.010856;
256;0.000930;;0.013751;
256;0.001552;;0.013205;
256;0.001100;;0.012791;
256;0.000840;;0.014231;
256;0.001328;;0.018226;
256;0.000915;;0.012615;
256;0.001165;;0.013382;
256;0.001432;;0.011397;
256;0.001136;;0.015507;
256;0.001623;;0.014486;
256;0.001714;;0.013362;
256;0.000888;;0.012578;
256;0.001033;;0.011654;
256;0.001155;;0.012958;
256;0.001084;;0.016946;
256;0.002794;;0.015208;
256;0.002191;;0.013410;
256;0.001061;;0.012693;
256;0.001319;;0.013430;
256;0.001402;;0.011858;
256;0.000936;;0.014502;
256;0.001235;;0.016212;
256;0.000913;;0.014088;
256;0.001108;;0.013588;
256;0.001243;;0.013993;
256;0.001507;;0.013317;
256;0.001108;;0.014535;
256;0.001137;;0.014719;
256;0.001250;;0.016363;
256;0.001050;;0.011917;
256;0.001256;;0.014283;
256;0.001194;;0.012595;
256;0.000869;;0.011893;
256;0.000900;;0.011528;
256;0.001043;;0.014217;
256;0.000827;;0.010834;
256;0.001073;;0.010946;
256;0.001095;;0.014144;
256;0.001256;;0.015997;
256;0.001937;;0.014644;
256;0.001267;;0.017537;
256;0.001234;;0.014746;
256;0.000804;;0.013259;
256;0.001479;;0.015916;
256;0.000873;;0.011708;
256;0.000916;;0.010805;
256;0.000878;;0.017484;
256;0.000812;;0.013985;
256;0.001126;;0.014675;
256;0.001141;;0.011805;
256;0.000929;;0.011642;
512;0.001171;;0.031766;
512;0.001418;;0.048548;
512;0.001740;;0.027051;
512;0.001127;;0.028401;
512;0.001250;;0.028029;
512;0.000918;;0.022994;
512;0.002048;;0.025997;
512;0.001185;;0.029784;
512;0.000962;;0.026566;
512;0.001226;;0.028036;
512;0.001427;;0.027486;
512;0.001104;;0.030120;
512;0.000901;;0.023649;
512;0.001110;;0.023476;
512;0.001118;;0.024984;
512;0.001439;;0.023247;
512;0.000863;;0.026919;
