instance size;mean bitonic sort (CPU);mean bitonic sort (GPU);mean odd-even sort (CPU);mean odd-event sort (GPU)
131072;0.011206;0.099804;;
131072;0.010889;0.005233;;
131072;0.011140;0.004898;;
131072;0.010882;0.004953;;
131072;0.010623;0.005412;;
131072;0.010478;0.004838;;
131072;0.010723;0.005086;;
131072;0.010520;0.005076;;
131072;0.010580;0.004865;;
131072;0.010642;0.005083;;
131072;0.010332;0.005208;;
131072;0.010612;0.005840;;
131072;0.010382;0.005359;;
131072;0.010705;0.005229;;
131072;0.010281;0.005355;;
131072;0.010322;0.005208;;
131072;0.010746;0.004950;;
131072;0.011040;0.004792;;
131072;0.011262;0.005202;;
131072;0.010273;0.005167;;
131072;0.010010;0.006051;;
131072;0.011815;0.005158;;
131072;0.012210;0.005827;;
131072;0.011384;0.006101;;
131072;0.011642;0.005689;;
131072;0.010357;0.004996;;
131072;0.010607;0.005461;;
131072;0.010975;0.005351;;
131072;0.010035;0.006511;;
131072;0.009961;0.004872;;
131072;0.009991;0.004742;;
131072;0.009928;0.004744;;
131072;0.009991;0.004742;;
131072;0.010015;0.005210;;
131072;0.010295;0.005162;;
131072;0.010193;0.004793;;
131072;0.010306;0.010089;;
131072;0.011699;0.009975;;
131072;0.011761;0.007462;;
131072;0.012788;0.010165;;
131072;0.011473;0.006249;;
131072;0.013108;0.007257;;
131072;0.009635;0.004866;;
131072;0.010007;0.004950;;
131072;0.009922;0.004879;;
131072;0.009856;0.005060;;
131072;0.009480;0.005037;;
131072;0.009701;0.004933;;
131072;0.009825;0.004793;;
131072;0.009479;0.005007;;
131072;0.010560;0.004806;;
131072;0.010864;0.005186;;
131072;0.010216;0.005260;;
131072;0.010756;0.004874;;
131072;0.009928;0.005241;;
131072;0.010031;0.005540;;
131072;0.010485;0.004759;;
131072;0.010919;0.005230;;
131072;0.010098;0.005538;;
131072;0.010321;0.006106;;
262144;0.020183;0.008069;;
262144;0.020627;0.007262;;
262144;0.019806;0.007276;;
262144;0.018730;0.007495;;
262144;0.020833;0.007467;;
262144;0.019015;0.007260;;
262144;0.019391;0.007248;;
262144;0.019914;0.007295;;
262144;0.019870;0.007241;;
262144;0.019662;0.007702;;
262144;0.021572;0.010063;;
262144;0.021177;0.007675;;
262144;0.020717;0.009995;;
262144;0.021268;0.007612;;
262144;0.021794;0.010796;;
262144;0.021253;0.010051;;
262144;0.021332;0.008476;;
262144;0.021852;0.010136;;
262144;0.021740;0.007788;;
262144;0.020652;0.007717;;
262144;0.019533;0.007685;;
262144;0.020663;0.007913;;
262144;0.019789;0.007568;;
262144;0.019390;0.007198;;
262144;0.020935;0.007507;;
262144;0.019096;0.007524;;
262144;0.021094;0.007283;;
262144;0.018930;0.007117;;
262144;0.018977;0.007572;;
262144;0.020263;0.007681;;
262144;0.019078;0.007659;;
262144;0.019424;0.007782;;
262144;0.019689;0.008323;;
262144;0.020907;0.007245;;
262144;0.018553;0.007678;;
262144;0.020234;0.007254;;
262144;0.019296;0.007567;;
262144;0.020220;0.007381;;
262144;0.018968;0.007358;;
262144;0.019610;0.007437;;
262144;0.020275;0.007489;;
262144;0.020186;0.007503;;
262144;0.020118;0.007358;;
262144;0.019266;0.007141;;
262144;0.018580;0.007151;;
262144;0.021913;0.007882;;
262144;0.021233;0.007690;;
262144;0.021405;0.009737;;
262144;0.021016;0.007968;;
262144;0.018883;0.007502;;
262144;0.019715;0.007633;;
262144;0.018558;0.007635;;
262144;0.020661;0.007469;;
262144;0.020291;0.007746;;
262144;0.021484;0.007325;;
262144;0.019471;0.007504;;
262144;0.019802;0.007613;;
262144;0.020490;0.007241;;
262144;0.019054;0.007090;;
262144;0.019173;0.007123;;
524288;0.037477;0.013246;;
524288;0.041271;0.013285;;
524288;0.041731;0.013305;;
524288;0.039553;0.013579;;
524288;0.039422;0.013230;;
524288;0.039556;0.013291;;
524288;0.038630;0.013324;;
524288;0.039262;0.013397;;
524288;0.040244;0.013427;;
524288;0.041965;0.012873;;
524288;0.043707;0.013629;;
524288;0.043315;0.013698;;
524288;0.042675;0.012830;;
524288;0.047274;0.012873;;
524288;0.039551;0.012807;;
524288;0.040109;0.013145;;
524288;0.042224;0.014376;;
524288;0.038183;0.015249;;
524288;0.036664;0.015172;;
524288;0.039969;0.012814;;
524288;0.040936;0.012756;;
524288;0.037660;0.013001;;
524288;0.039572;0.012884;;
524288;0.037132;0.012635;;
524288;0.037566;0.013082;;
524288;0.038058;0.013071;;
524288;0.037405;0.012729;;
524288;0.042390;0.014681;;
524288;0.045990;0.013657;;
524288;0.041708;0.013396;;
524288;0.041675;0.012731;;
524288;0.038115;0.012729;;
524288;0.037400;0.012712;;
524288;0.037661;0.013118;;
524288;0.041004;0.013226;;
524288;0.041327;0.012861;;
524288;0.041403;0.012729;;
524288;0.038418;0.012625;;
524288;0.039554;0.012709;;
524288;0.037087;0.012793;;
524288;0.039120;0.012825;;
524288;0.040845;0.012713;;
524288;0.039274;0.012737;;
524288;0.039460;0.012966;;
524288;0.042248;0.013486;;
524288;0.043831;0.012705;;
524288;0.043236;0.012735;;
524288;0.040385;0.012852;;
524288;0.043129;0.012862;;
524288;0.042271;0.014545;;
524288;0.041381;0.014406;;
524288;0.037107;0.015239;;
524288;0.037723;0.021901;;
524288;0.037267;0.040079;;
524288;0.038353;0.039395;;
524288;0.040989;0.041006;;
524288;0.038384;0.041371;;
524288;0.037526;0.043105;;
524288;0.042161;0.042210;;
524288;0.037022;0.040990;;
1048576;0.083104;0.084736;;
1048576;0.077850;0.085833;;
1048576;0.080240;0.085181;;
1048576;0.086534;0.086831;;
1048576;0.079977;0.086098;;
1048576;0.080604;0.085170;;
1048576;0.088555;0.085147;;
1048576;0.085140;0.086791;;
1048576;0.083320;0.085867;;
1048576;0.077977;0.087796;;
1048576;0.079677;0.085884;;
1048576;0.090271;0.086782;;
1048576;0.091213;0.084859;;
1048576;0.079946;0.087013;;
1048576;0.091400;0.083838;;
1048576;0.079564;0.083259;;
1048576;0.079920;0.082933;;
1048576;0.092594;0.083487;;
1048576;0.088717;0.086471;;
1048576;0.086258;0.085294;;
1048576;0.078431;0.084892;;
1048576;0.102789;0.083718;;
1048576;0.084478;0.085359;;
1048576;0.082773;0.082291;;
1048576;0.089854;0.083607;;
1048576;0.075135;0.085123;;
1048576;0.082224;0.086712;;
1048576;0.082956;0.084614;;
1048576;0.085194;0.085529;;
1048576;0.087206;0.087545;;
1048576;0.087970;0.083657;;
1048576;0.089387;0.082799;;
1048576;0.084055;0.086862;;
1048576;0.078241;0.086593;;
1048576;0.088151;0.086055;;
1048576;0.081404;0.086212;;
1048576;0.083958;0.083534;;
1048576;0.088035;0.086041;;
1048576;0.081274;0.085814;;
1048576;0.085541;0.086091;;
1048576;0.089564;0.086569;;
1048576;0.084560;0.084654;;
1048576;0.087683;0.086247;;
1048576;0.090934;0.083612;;
1048576;0.083919;0.085446;;
1048576;0.076895;0.086210;;
1048576;0.086050;0.085875;;
1048576;0.090341;0.085982;;
1048576;0.090276;0.084335;;
1048576;0.077971;0.087146;;
1048576;0.076027;0.085374;;
1048576;0.077767;0.085503;;
1048576;0.081477;0.086981;;
1048576;0.079803;0.085807;;
1048576;0.090262;0.085435;;
1048576;0.082381;0.085651;;
1048576;0.085616;0.087259;;
1048576;0.081610;0.086399;;
1048576;0.082183;0.086539;;
1048576;0.086785;0.083258;;
2097152;0.166377;0.178227;;
2097152;0.191319;0.175781;;
2097152;0.167973;0.179097;;
2097152;0.167993;0.179555;;
2097152;0.168358;0.178287;;
2097152;0.162965;0.177021;;
2097152;0.172528;0.178322;;
2097152;0.160854;0.178723;;
2097152;0.169685;0.176725;;
2097152;0.172111;0.177388;;
2097152;0.170655;0.178436;;
2097152;0.170407;0.174509;;
2097152;0.173994;0.177779;;
2097152;0.172418;0.178710;;
2097152;0.161347;0.181057;;
2097152;0.183137;0.177774;;
2097152;0.171561;0.178673;;
2097152;0.183721;0.175652;;
2097152;0.185256;0.176264;;
2097152;0.163604;0.178211;;
4194304;0.349846;0.373457;;
4194304;0.349408;0.370593;;
4194304;0.359661;0.374286;;
4194304;0.361193;0.373555;;
4194304;0.364121;0.372138;;
4194304;0.347793;0.372574;;
4194304;0.343395;0.372356;;
4194304;0.370291;0.374857;;
4194304;0.346947;0.373897;;
4194304;0.344895;0.371960;;
4194304;0.357742;0.373168;;
4194304;0.350349;0.371949;;
4194304;0.342246;0.372592;;
4194304;0.356443;0.374748;;
4194304;0.344578;0.372981;;
4194304;0.336497;0.372431;;
4194304;0.365446;0.373465;;
4194304;0.343369;0.373506;;
4194304;0.347155;0.371774;;
4194304;0.361307;0.372700;;
8388608;0.758578;0.793495;;
8388608;0.764598;0.791064;;
8388608;0.750402;0.790969;;
8388608;0.726835;0.791956;;
8388608;0.743424;0.792116;;
8388608;0.718353;0.789920;;
8388608;0.773283;0.790703;;
8388608;0.703358;0.792406;;
8388608;0.773057;0.793659;;
8388608;0.701591;0.792151;;
8388608;0.728682;0.790408;;
8388608;0.731299;0.790846;;
8388608;0.735878;0.791348;;
8388608;0.721279;0.789351;;
8388608;0.744780;0.792114;;
8388608;0.717502;0.790299;;
8388608;0.740405;0.789380;;
8388608;0.707704;0.788779;;
8388608;0.736865;0.791662;;
8388608;0.731685;0.791676;;
