instance size;bitonic sort (CPU);bitonic sort (GPU);odd-even sort (CPU);odd-event sort (GPU)
65536;0.006477;0.104515;0.398277;0.950538
65536;0.006300;0.004809;0.402265;0.993249
65536;0.005740;0.004103;0.391776;1.032674
65536;0.005387;0.004548;0.389191;1.011806
65536;0.005965;0.003954;0.406830;1.110920
65536;0.006219;0.005118;0.456183;1.406777
65536;0.006576;0.005344;0.380243;2.062325
65536;0.006402;0.006346;0.381119;1.810420
65536;0.006976;0.007986;0.564817;1.947580
65536;0.006324;0.007724;0.390285;1.595596
65536;0.006382;0.007195;0.554363;1.890413
65536;0.006210;0.006385;0.381086;1.830801
65536;0.006394;0.007326;0.387053;1.992309
65536;0.006771;0.008590;0.409295;2.018118
65536;0.005871;0.006357;0.392328;1.647408
65536;0.006045;0.005770;0.408517;1.635381
65536;0.006439;0.005744;0.383242;1.714971
65536;0.006359;0.005877;0.395003;1.623762
65536;0.006729;0.006402;0.381256;1.682211
65536;0.006144;0.006318;0.392708;1.604698
65536;0.005762;0.005885;0.406013;1.635885
65536;0.006858;0.006416;0.404883;1.627771
65536;0.005993;0.006251;0.574604;1.648360
65536;0.006394;0.008034;0.384556;1.693807
65536;0.006487;0.007588;0.438962;1.713043
65536;0.005854;0.006649;0.403753;1.707064
65536;0.005994;0.006272;0.421427;1.643477
65536;0.006206;0.005790;0.419483;1.717453
65536;0.006438;0.006148;0.417201;1.751774
65536;0.005986;0.006257;0.382813;1.777917
131072;0.011175;0.011869;1.419867;3.702248
131072;0.011181;0.007228;1.694820;3.583840
131072;0.010075;0.007712;1.693703;3.535204
131072;0.010572;0.007569;1.599623;3.757600
131072;0.033703;0.009825;1.648754;3.748748
131072;0.010537;0.007661;1.631053;3.637895
131072;0.010017;0.007865;1.649969;3.646127
131072;0.010381;0.008491;1.706322;3.669549
131072;0.011010;0.008198;1.635685;3.671520
131072;0.010814;0.007490;1.722916;3.582184
131072;0.010132;0.007785;1.823715;3.560754
131072;0.010129;0.007517;1.681597;3.536825
131072;0.010542;0.007792;1.630872;3.533206
131072;0.010445;0.007207;1.837660;3.516943
131072;0.010508;0.008147;1.620092;3.540247
131072;0.010663;0.007657;1.681991;3.548829
131072;0.010989;0.008189;1.800504;3.586242
131072;0.011317;0.010126;1.569662;3.724598
131072;0.011820;0.007853;1.652587;3.536112
131072;0.010429;0.007536;1.726602;3.546328
131072;0.010484;0.007519;1.654459;3.548329
131072;0.011038;0.007954;1.741073;3.530858
131072;0.010073;0.007551;1.896508;3.639124
131072;0.011190;0.007973;1.680426;3.689458
131072;0.011037;0.007535;1.696293;3.537707
131072;0.009916;0.007491;1.806155;3.624772
131072;0.010535;0.007576;1.663543;3.558876
131072;0.010545;0.009133;1.722823;3.558176
131072;0.010733;0.007564;1.722004;3.637871
131072;0.011530;0.007514;1.708034;3.648062
262144;0.019418;0.015426;6.915796;16.135518
262144;0.018920;0.014693;6.932442;16.006895
262144;0.020998;0.014962;6.722522;16.106935
262144;0.018812;0.014193;6.829389;15.871863
262144;0.019422;0.015500;6.903136;15.932921
262144;0.018890;0.014371;6.560772;15.942982
262144;0.018750;0.014401;6.624231;15.979910
262144;0.018993;0.015090;6.773806;15.830130
262144;0.018518;0.014652;6.840227;16.100278
262144;0.021372;0.017976;6.496685;15.869019
262144;0.019542;0.014814;6.723972;15.979211
262144;0.019042;0.014472;6.755195;16.979673
262144;0.020009;0.014793;6.957435;14.376088
262144;0.019067;0.014250;6.975121;15.769468
262144;0.018984;0.015181;6.397531;16.285067
262144;0.025063;0.016185;6.219645;17.569192
262144;0.019104;0.007850;6.910368;14.657065
262144;0.027976;0.015913;6.459577;16.657054
262144;0.028013;0.020179;6.741137;16.117866
262144;0.022497;0.016156;7.120722;11.416028
262144;0.023666;0.017591;7.245430;16.097415
262144;0.021083;0.014144;7.190454;16.952278
262144;0.020582;0.015032;6.735075;17.118249
262144;0.019444;0.015666;6.495864;16.277529
262144;0.019316;0.015644;6.631416;16.572485
262144;0.019399;0.015512;8.938485;16.097162
262144;0.020313;0.015320;6.531319;16.312374
262144;0.022273;0.017753;6.199239;16.306139
262144;0.021205;0.018551;6.704780;16.637518
262144;0.021293;0.015723;7.096114;16.362427
524288;0.040890;0.041119;27.103536;99.060863
524288;0.038105;0.041411;26.789962;96.311789
524288;0.042953;0.042399;27.913642;96.712057
524288;0.038036;0.040178;28.269758;96.235381
524288;0.058168;0.053429;28.067724;98.250303
524288;0.037428;0.042547;26.942362;88.042627
524288;0.044078;0.042775;29.311737;88.585379
524288;0.039405;0.014076;27.615620;83.191375
524288;0.041331;0.040739;26.611968;96.431179
524288;0.037617;0.043223;28.695446;88.914755
524288;0.042593;0.056197;29.140265;98.494500
524288;0.037807;0.042249;27.263469;97.088690
524288;0.037772;0.041741;26.964788;97.320188
524288;0.039830;0.040688;27.222663;97.024669
524288;0.040237;0.041974;26.786617;97.056547
524288;0.045013;0.041111;27.599332;97.765990
524288;0.039856;0.039953;27.430365;97.239900
524288;0.037883;0.040578;27.976497;97.544358
524288;0.051204;0.042813;28.011412;97.135329
524288;0.039400;0.041875;28.804633;98.336177
524288;0.037935;0.044966;27.414910;97.723419
524288;0.043709;0.042476;27.983138;97.203861
524288;0.042407;0.041603;29.356101;96.839773
524288;0.043296;0.040596;29.308937;97.913703
524288;0.046992;0.042107;29.191828;97.896738
524288;0.044211;0.043452;29.964420;98.176725
524288;0.044296;0.041506;28.394142;98.254285
524288;0.039490;0.045930;30.082407;97.682614
524288;0.041392;0.042727;28.755689;97.788910
524288;0.038522;0.041856;29.570037;98.421783
