instance size;bitonic sort (CPU);bitonic sort (GPU);odd-even sort (CPU);odd-event sort (GPU)
1;0.000000;0.000000;0.001009;0.096600
6;0.000001;0.000000;0.001057;0.000704
10;0.000001;0.000000;0.000975;0.000859
50;0.000004;0.000003;0.004047;0.001755
100;0.000008;0.000006;0.009062;0.002660
500;0.000048;0.000045;0.046562;0.006354
1000;0.000104;0.000099;0.090660;0.011522
5000;0.000668;0.000623;0.435850;0.060355
10000;0.001438;0.001391;0.863363;0.119282
50000;0.008238;0.008677;5.392255;0.987978
100000;0.018049;0.017961;16.367215;2.564055
500000;0.102002;0.100894;312.552359;85.286136
