instance size;bitonic sort (CPU);bitonic sort (GPU);odd-even sort (CPU);odd-event sort (GPU)
128;0.002234;;0.002419;
128;0.001721;;0.001959;
128;0.001154;;0.001059;
128;0.001691;;0.001756;
128;0.001487;;0.000764;
128;0.001442;;0.004057;
128;0.001514;;0.000539;
128;0.002017;;0.001480;
128;0.002296;;0.001036;
128;0.002200;;0.001961;
128;0.002131;;0.001277;
128;0.004029;;0.001591;
128;0.005994;;0.002888;
128;0.002142;;0.004149;
128;0.001272;;0.000639;
128;0.000900;;0.001914;
128;0.002633;;0.003250;
128;0.002320;;0.000689;
128;0.002402;;0.002163;
128;0.001121;;0.000294;
128;0.001348;;0.003567;
128;0.001143;;0.004573;
128;0.001380;;0.000518;
128;0.004103;;0.000426;
128;0.000960;;0.001282;
128;0.001419;;0.000521;
128;0.000947;;0.000421;
128;0.001841;;0.001756;
128;0.001457;;0.001414;
128;0.001133;;0.000447;
128;0.001289;;0.002414;
128;0.000872;;0.001187;
128;0.000833;;0.000500;
128;0.001221;;0.000837;
128;0.000999;;0.002608;
128;0.001289;;0.001859;
128;0.000822;;0.000315;
128;0.000895;;0.000346;
128;0.000956;;0.000348;
128;0.000860;;0.000508;
128;0.000955;;0.000409;
128;0.000920;;0.000487;
128;0.001181;;0.000350;
128;0.000865;;0.001797;
128;0.001011;;0.000443;
128;0.000871;;0.000328;
128;0.001098;;0.000280;
128;0.001205;;0.000375;
128;0.001444;;0.000374;
128;0.001268;;0.000791;
128;0.001139;;0.000882;
128;0.001162;;0.000325;
128;0.000899;;0.001064;
128;0.000919;;0.000469;
128;0.000955;;0.000384;
128;0.001044;;0.001193;
128;0.000887;;0.000507;
128;0.000837;;0.000468;
128;0.001454;;0.001650;
128;0.001385;;0.001658;
128;0.000914;;0.000603;
128;0.001200;;0.000440;
128;0.002240;;0.001311;
128;0.001371;;0.000611;
128;0.000789;;0.000418;
128;0.001464;;0.000620;
128;0.001418;;0.000353;
128;0.001512;;0.001181;
128;0.001504;;0.000448;
128;0.001951;;0.000403;
128;0.001060;;0.000834;
128;0.000817;;0.000375;
128;0.001292;;0.000784;
128;0.000846;;0.000474;
128;0.001237;;0.000508;
128;0.001514;;0.000555;
128;0.000664;;0.001540;
128;0.001302;;0.000790;
128;0.001275;;0.000675;
128;0.000758;;0.003002;
128;0.001234;;0.000314;
128;0.001020;;0.000507;
128;0.000966;;0.000374;
128;0.001102;;0.001166;
128;0.001463;;0.000686;
128;0.000737;;0.000623;
128;0.001630;;0.000319;
128;0.000914;;0.000644;
128;0.001627;;0.000391;
128;0.001250;;0.000298;
128;0.000864;;0.001320;
128;0.001241;;0.000494;
128;0.001251;;0.000282;
