instance size;bitonic sort (CPU);bitonic sort (GPU);odd-even sort (CPU);odd-event sort (GPU)
131072;0.012028;0.117142;1.839958;2.498101
131072;0.011397;0.005475;1.717363;3.836285
131072;0.011895;0.008049;1.740314;4.101490
131072;0.012534;0.007940;1.788231;3.827865
131072;0.010702;0.008990;1.832213;3.795931
262144;0.020733;0.015813;6.527594;16.138415
262144;0.020947;0.014761;7.276775;12.024728
262144;0.043210;0.010498;10.368755;16.442573
262144;0.021027;0.016023;7.564074;16.784448
262144;0.021274;0.015599;7.596991;17.169261
524288;0.046008;0.044305;30.941668;97.794294
524288;0.043462;0.043088;32.279001;97.138244
524288;0.039173;0.040567;29.124507;97.231534
524288;0.040673;0.043806;29.536586;98.024562
524288;0.041287;0.043105;29.099630;97.714645
1048576;0.086905;0.087397;117.807502;366.654360
1048576;0.079656;0.085555;119.402401;364.796970
1048576;0.078012;0.084870;117.509094;277.371348
1048576;0.091120;0.028574;118.438434;370.406392
1048576;0.089798;0.082421;118.741922;368.586425
2097152;0.168681;0.179191;481.208733;1420.926337
2097152;0.204520;0.176341;489.973756;1416.905655
2097152;0.190228;0.178021;476.474751;1422.470378
2097152;0.162920;0.178638;452.904428;1422.973142
2097152;0.170628;0.179732;460.635660;1447.217679
4194304;0.364179;0.377267;2059.479375;2686.577642
4194304;0.392134;0.113921;1979.002838;2030.961676
4194304;0.387035;0.111634;1940.418147;5307.467426
4194304;0.388598;0.375182;2091.032673;5272.785285
4194304;0.358083;0.097032;2043.845530;1531.607056
